STT,Date,Open,High,Low,Close,Adj Close,Volume
2,2020-12-1,5.377254,5.530346,5.018441,5.093567,5.093567,7.77715514E8
3,2020-12-2,5.093467,5.532002,5.030747,5.464157,5.464157,6.0721678E8
4,2020-12-3,5.464745,5.564023,5.338207,5.410368,5.410368,3.54593131E8
5,2020-12-4,5.410147,5.434474,4.971953,5.032713,5.032713,4.22944392E8
6,2020-12-5,5.029704,5.190219,4.89216,5.188903,5.188903,4.08952852E8
7,2020-12-6,5.18796,5.201379,5.009244,5.135868,5.135868,2.99285627E8
8,2020-12-7,5.134985,5.154355,5.018779,5.06032,5.06032,2.42900962E8
9,2020-12-8,5.060634,5.067212,4.71274,4.733347,4.733347,3.98505417E8
10,2020-12-9,4.73315,4.936304,4.628309,4.861897,4.861897,4.77599466E8
11,2020-12-10,4.8637,4.912512,4.749417,4.797596,4.797596,2.99121449E8
12,2020-12-11,4.79806,4.804924,4.546074,4.621052,4.621052,3.66039075E8
13,2020-12-12,4.619786,4.797782,4.615325,4.740454,4.740454,2.82782417E8
14,2020-12-13,4.740725,4.995,4.735164,4.891212,4.891212,2.80953204E8
15,2020-12-14,4.891505,5.002225,4.835016,4.898082,4.898082,2.04385757E8
16,2020-12-15,4.897907,5.282553,4.854383,5.249607,5.249607,3.54033042E8
17,2020-12-16,5.248825,5.36189,5.124767,5.359313,5.359313,5.08481878E8
18,2020-12-17,5.359304,5.726208,5.292484,5.343967,5.343967,8.63948412E8
19,2020-12-18,5.344194,5.503851,5.258786,5.367641,5.367641,6.07402856E8
20,2020-12-19,5.36706,5.567254,5.287727,5.338945,5.338945,5.17648631E8
21,2020-12-20,5.338881,5.42929,5.090574,5.188476,5.188476,5.19415555E8
22,2020-12-21,5.188238,5.412279,4.806443,4.890545,4.890545,6.65375358E8
23,2020-12-22,4.888161,5.17324,4.814806,5.15483,5.15483,6.97260532E8
24,2020-12-23,5.154473,5.18419,4.619133,4.710613,4.710613,6.65441295E8
25,2020-12-24,4.711977,5.196156,4.655313,5.12882,5.12882,6.46511051E8
26,2020-12-25,5.127846,5.272006,5.043451,5.214211,5.214211,5.12565394E8
27,2020-12-26,5.214895,5.273874,5.093932,5.182181,5.182181,4.84934518E8
28,2020-12-27,5.181959,5.394439,4.952185,5.136191,5.136191,7.84179881E8
29,2020-12-28,5.136391,6.644754,5.122084,6.588822,6.588822,1.746628677E9
30,2020-12-29,6.582754,7.607136,6.198066,7.519257,7.519257,2.717983832E9
31,2020-12-30,7.51916,7.651448,7.088113,7.2543,7.2543,2.059017628E9
32,2020-12-31,7.250568,9.43013,7.16996,9.292508,9.292508,2.751292066E9
33,2021-1-1,9.28818,9.416587,8.120193,8.306819,8.306819,2.791211123E9
34,2021-1-2,8.305491,9.761334,7.94329,9.208837,9.208837,3.049232406E9
35,2021-1-3,9.209648,10.457493,8.873362,10.033282,10.033282,3.032883074E9
36,2021-1-4,10.062048,10.505565,8.77721,9.469611,9.469611,2.893262629E9
37,2021-1-5,9.475801,10.041344,9.084263,9.701655,9.701655,2.080742171E9
38,2021-1-6,9.707112,10.371598,9.489742,10.096068,10.096068,2.382484174E9
39,2021-1-7,10.094014,10.629004,9.496402,9.644586,9.644586,2.52134276E9
40,2021-1-8,9.645126,9.795448,8.861685,9.307136,9.307136,2.350202787E9
41,2021-1-9,9.305774,9.823151,9.053466,9.777765,9.777765,1.478813229E9
42,2021-1-10,9.777318,9.994553,8.752951,9.305048,9.305048,1.603968712E9
43,2021-1-11,9.304654,9.304654,7.22859,8.27644,8.27644,3.251043299E9
44,2021-1-12,8.27226,8.616104,7.973653,8.264148,8.264148,1.918790089E9
45,2021-1-13,8.265112,11.299746,7.989519,10.95771,10.95771,2.915711372E9
46,2021-1-14,10.947876,14.549704,10.925012,14.53905,14.53905,5.405054868E9
47,2021-1-15,14.52252,14.855377,11.851579,13.212381,13.212381,6.159630996E9
48,2021-1-16,13.19805,19.322062,13.185755,18.180424,18.180424,8.917081506E9
49,2021-1-17,18.150343,18.150343,16.40896,16.984255,16.984255,6.091648732E9
50,2021-1-18,16.997015,18.101706,15.824631,16.512928,16.512928,3.888179751E9
